,sent1,sent2,lemma,ground_truth
9188,"Yet even here many a problem is presented ; as in a recent design competition with a floor plan and the simple command - `` design a luxury apartment '' ; no description of the client or his cultural level , no assertion of geographical area or local social necessities - simply `` a luxury apartment '' .",I strongly recommend to the Congress the avoidance of mandatory floors on the size of the reserve components so that we may have the flexibility to make adjustments in keeping with military necessity .,necessity,F
9189,"Many cells , bacteria , and other microorganisms are transparent to visible light and must be stained for microscopic investigation .",Routine microscopic examinations were made of the mixed liquor as indicated by McKinney and Gram for the various types of protozoa .,microscopic,F
9190,"All four types of message listed in Table 1 are permitted , although decorum and cocktail tradition require holding the commands to a minimum , while exclamations having complimentary intonations are more than customarily encouraged .","As a word of caution , we should be aware that in actual practice no message is purely one of the four types , question , command , statement , or exclamation .",exclamation,T
9191,"After heavy rains and an onslaught of mice , snow fell on October 15 , 1825 , and remained on the ground through a winter so cold that the ice on the Red was five feet thick .","Arnold 's iron shot from the tee burrowed into the bunker guarding the green , an embankment that had become soft and spongy from the rains , thereby bringing local rules into force .",rain,T
9192,We all know what the dummies will do `` - he gestured at the hummocks in which the decorticated men were cradled - '' and we all know what the new people will ask .,"Oso slept unconcernedly , his rifle cradled in his arms ; I did n't catch a wink .",cradle,F
9193,Foreign policy is the total involvement of the American people with peoples and governments abroad .,"`` Oh , the French are a very curious people '' , Pierre had laughed .",people,F
9194,"A shot caught him and straightened him up in screaming pain ; a following volley of shots shattered glass , ripped the ceiling , and sent him lurching heavily from the table .",At the first shot Russ had hurled his mount to the left toward the side of the winding draw .,shot,T
9195,"The growth center depicted here , in the distal phalanx of the second finger , is listed as the fifth of those in the seven short bones .","Accordingly , if epiphyseal diaphyseal fusion occurs in this phalanx near menarche , early and late menarches might have been forecast rather precisely at the time of Onset of ossification for the 18 girls with `` same schedule '' .",phalanx,T
9196,"Very likely it will also include a recognition that the work we are reading reflects or `` belongs to '' some way of thought labelled as a `` school '' or an `` - ism '' , i. e. a complex or `` syndrome '' of ideas occurring together with sufficient prominence to warrant identification .",Mutants may also be developed with changes in biochemical properties that are of importance in identification .,identification,T
9197,"Still nursing anger I listlessly thumbed a car that was slowly approaching , its pre-war chrome nearly blinding me .","A big car was approaching , its chrome teeth grinning .",chrome,T
9198,"Frequently a few isolated thick walled cells or , rarely , groups of such cells in the xylem region , were also specifically stained , but there was no such staining in epidermis , cortex , most xylem cells , ray cells , or pith .",The method used in computing the allotments is specifically set forth in the Act .,specifically,F
9199,"The doorman began to nod his head automatically , then remembered who Gilborn was , what had happened to him the night before .","In one cartoon a family is shown outside a theater with the head of the family addressing the doorman : `` Excuse me , but when we came out we found that we had left my daughter 's handbag and my wife 's behind '' .",doorman,T
9200,"It 's a matter of boredom , and the subconscious feeling that she is entitled to something , because she 's being deprived of something else '' .","A brisk , satirical spoof of contemporary American mores entitled `` An American Journey '' was given its first New York performance at Hunter College Playhouse last night by the Helen Tamiris-Daniel Nagrin Dance Company .",entitle,F
9201,"Occasionally gay young blades would write vividly to boon companions at home about their amorous exploits in Richmond , Petersburg , Washington , or Nashville .",Occasionally there are examples of prevision which cannot be pushed aside without confessing an unscientific attitude .,occasionally,F
9202,"The underlying assumption , of course , is that only sight and touch enable us , in any precise and fully dependable way , to locate objects in space beyond us , the other senses being decidedly inferior , if not totally inadequate , in this regard .","The Kremlin 's goal is the isolation and capture , not of Ghana , but of the United States - and this purpose may be served very well by countries that masquerade under a `` neutralist '' mask , yet in fact are dependable auxiliaries of the Soviet Foreign Office .",dependable,T
9203,"Dreams that display events of the future with photographic detail call for a theory explaining their basic mystery and all its components , including that weird feeling of deja vu , inevitably fantastic though that theory must seem .","Authorities hesitate to quote exact figures , however , believing that any sum they come up with is only a surface manifestation - turned up by their inevitably limited policing - of the real loot of the medical racketeer .",inevitably,F
9204,"`` We 're getting more ' pro ' letters than ' con ' on horse race betting '' , said Ratcliff .",Multiply these figures by the millions of people known to be conned by medical pirates annually .,con,T
9205,"They possessed no outer fortifications , no hard shells of confidence ; they had enough difficulty getting from day to day , let alone having an awful crime thrust upon them .",Gannon contributed saving plays on the Falcons ' aerial thrusts in the late stages .,thrust,T
9206,"During the election campaign , both candidates , Davis and Bush , reportedly received anonymous telephone calls .",The manager of a movie theater received a telephone call from a woman who was equally indefinite .,telephone_call,T
9207,"I swam like mad , got out of the pool , grabbed my robe , and ran to the car .","Grabbing his Winchester from its sheath , Cook prepared to fight from behind the arroyo bank .",grab,T
9208,"Putting the key into the switch , pressing the accelerator with his foot , putting the car into reverse , seemed vast endeavors almost beyond the ability of his shaking body .",Some 80 reaction tubes from 13 manifold fillings were illuminated in the temperature range from 40 to 85 ` in a further endeavor to determine the cause of the irreproducibility and to obtain information on the activation energy and the effect of light intensity .,endeavor,T
9209,She knows the power of the sex urge and how to use it to manipulate her husband .,"`` As the mother of an autistic child who is lacking in interest and enthusiasm about almost anything , I have to manipulate my son 's fingers for him when he first plays with a new toy .",manipulate,T
9210,"Bobby Joe had been sitting close to her , touching her actually , and holding her hand from time to time , but it seemed at once that Howard sat much closer .",Practically all of these practical skills are of such a nature that a degree of mastery can be obtained in high school sufficient to enable the youth to get a job at once on the basis of the skill .,at_once,F
9211,"On the street outside , Hieronymus envisions a holocaust of the vanities of this world , such a burning of artistic and erotic productions as his namesake actually brought to pass in Florence , and prophetically he issues his curse : `` Gladius Dei super terram cito et velociter '' .",Have we not actually developed idea worship ?,actually,T
9212,Remember how BY a series of booking absurdities Chicago missed seeing the Bolshoi Ballet ?,"At least this seemed to be the working hypothesis for `` Chicago and All That Jazz '' , presented on NBC - TV Nov. 26 .",chicago,T
9213,We did n't have time to speak before Eileen 's voice was screeching at us from the bed .,"Even so , he generally listened and was usually reasonable to those who voiced their objections properly .",voice,F
9214,"He does not mean to say that Adam lost the similitude of God and his immortality through the fall ; for he was created not exactly immortal , nor yet exactly mortal , but capable of immortality as well as of mortality .","Not so , he answers , it is not the architect but the temple that is immortal .",immortal,F
9215,"Three seconds flat is the usual time , and the space is crossed by moderate mileage , while the overwhelming immensity of such journeys must be conceived as a static pulsation through an enormous number of coexistent frequencies which perpetuate all events .","The cost of developing a major weapon system is now so enormous that the greatest care must be exercised in selecting new systems for development , in determining the most satisfactory rate of development , and in deciding the proper time at which either to place a system into production or to abandon it .",enormous,F
9216,"With these completed and ice gone from the St. Peter's River ( present-day Minnesota river ) their 250 bushels of wheat , 100 bushels of oats and barley and 30 bushels of peas and some chickens were loaded onto the flat-bottomed boats and rowed up the river to Big Stone Lake , across into Lake Traverse , and down the Red .","She doled out what Glendora vaguely guessed were the right amounts of dried peas , eggs , cornmeal , a little salt .",pea,T
9217,"Thomas Douglas , fifth Earl of Selkirk , a noble humanitarian Scot concerned with the plight of the crofters of his native Highlands , conceived a plan to settle them in the valley of the Red River of the North .","Within a few years the Scots , engaged in breaking the thick sod and stirring the rich soil of the valley , were joined by a group called Meurons .",scot,F
9218,"He scooped up the receiver and said , `` Police chief '' , into the mouthpiece , and then , `` Oh yes , Mr. Benson .","To demonstrate the soil of his vegetable gardens as it is today , Mr. Clark stooped to scoop up a handful of rich dark earth .",scoop_up,T
9219,"The gymnast must develop strength , flexibility , coordination , timing , rhythm , courage , discipline , persistence and the desire for perfection .",Assistant Secretaries of State will now carry an increased burden of active formulation and coordination of policies .,coordination,F
9220,But Sojourner was not easily excited or upset and said quite calmly : `` Let 's go and see what it 's like '' .,Calmly he opened the Bible and read of the woman at the well .,calmly,F
9221,"As long as perception is seen as composed only of isolated sense data , most of the quality and interconnectedness of existence loses its objectivity , becomes an invention of consciousness , and the result is a philosophical scepticism .","Whitehead is here questioning David Hume 's understanding of the nature of experience ; he is questioning , also , every epistemology which stems from Hume 's presupposition that experience is merely sense data in abstraction from causal efficacy , and that causal efficacy is something intellectually imputed to the world , not directly perceived .",sense_datum,T
9222,"It is different with his volume The Swedes and Their Chieftains ( Svenskarna och deras ho ^ vdingar ) , a history intended for the general reader and particularly suited for high school students .",The reaction of chlorine with carbon tetrachloride seemed particularly suited for such studies .,suited,F
9223,"In addition , the right to vote the General Motors stock held by du Pont was to be vested in du Pont 's stockholders , other than Christiana and Delaware and the stockholders of Delaware ; du Pont , Christiana , and Delaware were to be enjoined from acquiring stock in or exercising control over General Motors ; du Pont , Christiana , and Delaware were to be prohibited to have any director or officer in common with General Motors , and vice versa ; and General Motors and du Pont were to be ordered to terminate any agreement that provided for the purchase by General Motors of any specified percentage of its requirements of any du Pont manufactured product , or for the grant of exclusive patent rights , or for a grant by General Motors to du Pont of a preferential right to make or sell any chemical discovery of General Motors , or for the maintenance of any joint commercial enterprise by the two companies .",Much new equipment and many unique techniques have been developed for the quantitative exposure of experimental animals to aerosols of infectious agents contained in particles of specified dimensional characteristics .,specified,T
9224,"He had on his gray tweed overcoat and his city hat , and his brief case lay on the bench .",He would not carry a brief case .,briefcase,T
9225,"A workbench had a heavy top and sturdy legs , but how did you attach sturdy legs to a heavy top so that the whole thing did n't wobble like a newborn calf and ultimately collapse when you leaned on it ?","He drove , and the road wobbled , familiar scenes crept past on either side .",wobble,T
9226,"Repeated attempts to withdraw steroids entirely were unsuccessful because increased muscle weakness resulted , as well as fever , malaise , anorexia , anxiety , and an exacerbation of the anemia .","The already faded pastel charms of the naive music itself vanish entirely in Fistoulari 's melodramatic contrasts between ultra vehement brute power and chilly , if suave , sentimentality .",entirely,T
9227,"Once more , Katie reared , and whinnied in fear .",Violet whinnied from the stable .,whinny,T
9228,You can unscrew this tube and replace it with a smoothbore insert for use with .22 shotshells - to break the little Targo clay targets .,Hans cut the foil off finally and unscrewed the cap .,unscrew,T
9229,"If the man on the sidewalk is surprised at this question , it has served as an exclamation .","As a word of caution , we should be aware that in actual practice no message is purely one of the four types , question , command , statement , or exclamation .",exclamation,F
9230,Mrs. Pastern undertook the work of going from house to house with the thoughtless resignation of an honest and traditional laborer .,"Interviewing , checking references , training the salesmen , having them go with more experienced salesmen was expensive - and the rate of attrition due to resignations or unsatisfactory performance was too high .",resignation,F
9231,"Mike remained in trance ; there was much to grok , loose ends to puzzle over and fit into his growing - all that he had seen and heard and been at the Archangel Foster Tabernacle ( not just cusp when he and Digby had come face to face alone ) - why Bishop Senator Boone made him warily uneasy , how Miss Dawn Ardent tasted like a water brother when she was not , the smell of goodness he had incompletely grokked in the jumping up and down and wailing -",The arrest of Mr. Parker marks the third charge of wrongdoing involving the jury that heard the case .,hear,F
9232,"The women had a bright shining expectancy as they leaned out from the wall and gazed splendidly into the distance , while the men were stern but hopeful .","Above decks on the John Harvey , Lieutenant Richardson gazed at the lights still burning on the port wall and felt uneasy .",gaze,F
9233,"There seems to be an unfortunate assumption that an hour of Chicago style jazz in prime evening time , for example , could not be justified without the trimmings of a portentous documentary .","Her impact in the ZING commercials had led to her being considered for an excellent part in an upcoming TV series , Underwater Western Eye , a documentary type show to be sponsored by Oatnut Grits .",documentary,F
9234,"This theory has been put so clearly and precisely that it deserves criticism of the same kind , and this I will do my best to supply .",The design of orthographies has received much less attention from linguists than the problem deserves .,deserve,T
9235,"When all has been said , however , the big branch store remains a major break with history in the development of American retailing .","This is what was meant , above , by describing history as inferential .",history,F
9236,"If this be true , the possibility exists that an occlusive lesion of the bronchial arteries might cause widespread degeneration of supportive tissue similar to that seen in generalized emphysema .","The pulmonary vein , however , without the limiting supportive tissue septa as in type 1 , , follows a more direct path to the hilum and does not maintain this close relationship ( figs. 8 , 22 ) .",supportive,F
9237,That 's one of the reasons art is becoming a useless occupation .,The petition listed the mayor 's occupation as `` attorney '' and his age as 71 .,occupation,T
9238,Lousiness is a prerequisite for epidemic typhus .,Some of those who question the value of BW have assumed that the only potential would be in the establishment of epidemics .,epidemic,T
9239,"Since it is important , for the record let 's have the full name '' .",Electricity plays such an important part in community life today that it is difficult to envision a time when current was not available for daily use .,important,T
9240,"It was for this reason , and no other that I can see , that in September 1912 , Braque took the radical and revolutionary step of pasting actual pieces of imitation woodgrain wallpaper to a drawing on paper , instead of trying to simulate its texture in paint .","But the historian of literature need not confine his attention to biography or to stylistic questions of form , `` texture '' , or technique .",texture,F
9241,"Had Hoijer substituted for his 15 adjectival slots 15 good animal and plant items , his rate of stem replacement would have been lower and the age of Athabascan language separation smaller .","It 's your decision '' , said Juanita , holding her face very still , trying to contain the bitterness of her voice as she enunciated her words too distinctly .",person,T
9242,"However , at the same time Montgomery selects as his hero de Gaulle , who is a militarist dominated by political ambitions .","In method as well as in theme this little anecdote with its details selected as much for expressiveness and allegory as for `` realism '' , anticipates a kind of musical composition , as well as a kind of fictional composition , in which , as Leverku^hn says , `` there shall be nothing unthematic '' .",select,F
9243,The proteins were extracted with 3 volumes of * * f in * * f to give a nearly neutral extract and precipitated by 80 % saturation with * * f .,We cannot regard foreign policy as something left over after defense policy or trade policy or fiscal policy has been extracted .,extract,T
9244,"Mr. Keo , once a diplomat in Paris and Washington , was Commissioner of Rural Affairs .","They were not diplomats or jazz musicians , or even organizers of reading-rooms and photo montage displays , but rugged capitalist entrepreneurs like Henry Ford , Hugh Cooper , Thomas Campbell , the International Harvester Co. , and David W. Griffith .",diplomat,T
9245,"Often he seems even to have been able to guess correctly , without the tracing motions , solely on the basis of qualitative differences among the blot like things which appeared in his visual experience .",Previous experiences are obviously of great importance for the qualitative and quantitative emotional response .,qualitative,T
9246,"Petitioner was not entitled , either in the administrative hearing at the Department of Justice or at his trial , to inspect the original report of the Federal Bureau of Investigation , since he was furnished a resume of it , did not challenge its accuracy , and showed no particular need for the original report .","Chapter 8 , is entitled `` On Magnetism '' and in it are included such remarks as , `` One has always been tempted to compare the magnetic forces with the electrical forces .",entitle,T
9247,"There have been cooing doves , chattering magpies , thieving jackdaws , a proud peacock , a silly goose , and a harpy eagle - whom I was silly enough to mate with and who is now busy tearing at my vitals '' .","I called the other afternoon on my old friend , Graves Moreland , the Anglo-American literary critic - his mother was born in Ohio - who lives alone in a fairy-tale cottage on the Upson Downs , raising hell and peacocks , the former only when the venerable gentleman becomes an angry old man about the state of literature or something else that is dwindling and diminishing , such as human stature , hope , and humor .",peacock,F
9248,"Henrietta was discovering in the process of writing , as the born writer does , not merely a channel for the discharge of accumulated information but a stimulus to the development of the creative powers of observation , insight and intuition .",David Cortlandt had certain psychic intuitions that this rebellion was not wholly what it appeared on the surface .,intuition,F
9249,He was able to discern the body lines of the Roman women under their robes .,"I discern no limits to a faith vested in God and Christ , who is the sum of all wisdom and knowledge , and daring to trust Him even though called to stand alone before the world .",discern,T
9250,The waves breakin in on you and your girl at night there on the warm beach in the moonlight even Jesus sweet Mary .,"For example , arrow 17 in Figure 3 portrays the proximal radial epiphysis for boy 34 , whereas the same epiphysis for girl 2 is portrayed by arrow 18 in Figure 4 .",girl,T
9251,Didi and Gogo hover on the edge of suicide ; Hamm 's world is death and Clov may or may not get out of it to join the living child outside .,"Moreover , the diabetic patient who relies on cure by the quack device and therefore cuts off his insulin intake can be committing suicide .",suicide,T
9252,"Miscellaneous soils , which primarily include sticky substances and colorless liquids which evaporate to leave a residue .","She felt cold and hot , sticky and chilly at the same time .",sticky,T
9253,Keep the retirement age flexible so skilled craftsmen such as tool and die makers can be kept on the job for the convenience of the company .,"Among them , according to the U. S. Department of Commerce , are : ( 1 ) shorter work weeks , ( 2 ) higher pay , ( 3 ) longer paid vacations , ( 4 ) better transportation , ( 5 ) earlier retirement , and ( 6 ) more education .",retirement,F
9254,"He had left her inviolate , thinking familiarity would gentle her in time .","Again , Henley 's attitude of defiance which colors his ideal of self mastery is far from characteristic of a Stoic thinker like Marcus Aurelius , whose gentle acquiescence is almost Christian , comparable to the patience expressed in Milton 's sonnet on his own blindness .",gentle,F
9255,"The bulk of the preparation had , of course , proceeded under the supervision of the Ministry of the Interior , whose officials are barred from party activity and probably generally disinterested in party politics .","Two men murmured with their heads together at the end of the bar , while the sleek headed bartender absently polished a glass .",bar,T
9256,"Hercules L. Dousman , fur trader and merchant at Prairie du Chien , contracted to supply Selkirk 's people with some 300 head of cattle , and Alexis Bailly and Francois Labothe were hired as drovers .",It was his experience that only one good salesman was found out of every seven hired - and only one was hired out of every seven interviewed .,hire,T
9257,"The Kremlin 's goal is the isolation and capture , not of Ghana , but of the United States - and this purpose may be served very well by countries that masquerade under a `` neutralist '' mask , yet in fact are dependable auxiliaries of the Soviet Foreign Office .","The liberal pressure bloc ( which coyly masquerades under the name Democratic Study Group ) had fought the committee before , and had always lost .",masquerade,T
9258,"Adam thought of the hutments , regiment after regiment , row after row , the thousands of huts , stretching away into the night .",On the forward slope in front of his own post stretched two rows of barbed wire .,row,F
9259,"At the left is a pair of dressy straw pumps in a light , but crisp texture .","To reinforce , and sometimes to replace , the simulated typography , Braque and Picasso began to mix sand and other foreign substances with their paint ; the granular texture thus created likewise called attention to the reality of the surface and was effective over much larger areas .",texture,T
9260,"`` My beloved ward , my perennial gadfly '' , said the whining voice .","`` Dearly beloved '' , he preached , `` unless you repent of your sins in a measure , and become converted to a degree , you will , I regret to say , be damned to a more or less extent '' .",beloved,F
9261,"With the divinities present and our souls in place , we were wished health , happiness , and power .",Now a distinguished old man called on nine divinities to come and join us .,divinity,T
9262,"Sheer plumpness , he knew , is not a vital part of the body and has no procreative functions .","And knowing its humble place in the scale of things , why did he , at this time of life , seem almost ready to sell his soul for plumpness ?",plumpness,F
9263,"But he brought back the sheriff and several deputies , and to the lawmen the entire affair seemed a repetition of the Lewis killing .","On the one hand , the major European nations had to maintain vis-a-vis each other an emphasis upon sovereignty , independence , formal equality - thus insuring for themselves individually an optimal freedom of action to maintain the `` flexibility of alignment '' that the system required and to avoid anything approaching a repetition of the disastrous Napoleonic experience .",repetition,T
9264,"Subways improved land values without taking away land ; freeways boost valuation less ( because the garages they require are not prime buildings by a long shot ) , and reduce the acreage that can be taxed .","Rep. Henry C. Grover , who teaches history in the Houston public schools , would reduce from 24 to 12 semester hours the so-called `` teaching methods '' courses required to obtain a junior or senior high school teaching certificate .",reduce,T
9265,Harmony in Laos ?,We were there at a moment when the situation in Laos threatened to ignite another war among the world 's giants .,laos,F
9266,"In 1931 Mrs. F. H. Briggs , agent and chief operator , who was to retire in 1946 with thirty years ' service , led agency offices in sales for the year with $ 2490 .",The Bureau is pursuing an active program to provide a temperature scale and thermometer calibration services in the range 1.5 to 20 * * f .,service,T
9267,"Or ( more commonly , thinks Keys ) the deposits themselves get so big that they choke off the artery 's flow to the point that an infarct occurs : the heart muscle is suffocated , cells supplied by the artery die , and the heart is permanently , perhaps fatally injured .","It could take place tomorrow night , or it might occur months from now .",occur,F
9268,"It probably will be necessary to install an outside antenna , particularly to receive CONELRAD broadcasts .",( The first Metropolitan Opera broadcast on Dec. 9 will introduce her as Lucia . ),broadcast,F
9269,"Dr. A. V. Astin , NBS Director , opened the 5 - day session with introductory remarks , following which a total of twenty-six papers were given throughout the week by NBS scientists , from both the Washington and Boulder Laboratories .","Could he have pen and paper , please ?",paper,T
9270,Those children who can chin themselves should be told to do one chin up each time they pass under it .,"The first thing every morning when she washed her face she could see the scar on her chin where he 'd cut her with a boot cleat , and maybe she saw him heaving it again , the dirty sock popping out as it flew .",chin,T
9271,"Not through fear of disobeying orders , as Eichmann kept trying to explain , but through a peculiar giddiness that began in a half acceptance of the vicious absurdities contained in the Nazi interpretation of history and grew with each of Hitler 's victories into a permanent light mindedness and sense of magical rightness that was able to respond to any proposal , and the more outrageous the better , `` Well , let 's try it '' .",This interpretation of the role of residence in the economy of middle-class culture could lead to various projections for the churches .,interpretation,F
9272,"Petitioner was not entitled to have the hearing officer 's notes and report , especially since he failed to show any particular need for them and he did have a copy of the Department of Justice 's recommendation to the appeal board .","On the basis that all citizens of the state are entitled to benefit equally in the development of its resources , plans for the provision of essential services ( such as water ) will be based on need regardless of arbitrary political boundaries , within the framework of the state plan .",entitle,T
9273,"The electoral procedure prevented the ready identification of party affiliation , but all vitally interested parties , including the government itself , were busily engaged in determining the party identifications of all successful candidates the month following the elections .","Both parties and the Ministry of the Interior were busily at work after the elections trying to unearth the political affiliations of the successful candidates and , thereby , give the elections a confidential but known degree of national political significance .",busily,T
9274,"Whole platoons were taking up new positions on the steps , arriving and departing , while I stayed glued , like a signpost , to one spot .",Griffith had confronted Hoag on the building 's front steps - Hoag had been permitted no further - and backed him against a wrought-iron railing .,steps,F
9275,"In the first of these sentences if by is the complement of come and Tuesday is an adjunct of time equivalent to on Tuesday , there will be strong stress on by in the spoken language ; but if a complement for come is implied and by Tuesday is a prepositional unit used as an adjunct , by will be unstressed or lightly stressed at most .","Robert Snodgrass , state GOP chairman , said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience .",tuesday,F
9276,"It is as large as all of art , interdependent , varied , multitudinous '' .","County judges , commissioners , engineers , assessors , and others who have lived in the area for a long time may have valuable knowledge regarding the site or opinions to offer from their varied professional experiences .",varied,T
9277,"Because of the size of the areas it covers , the pasted paper establishes undepicted flatness bodily , as more than an indication or sign .","Depicted , Cubist flatness is now almost completely assimilated to the literal , undepicted kind , but at the same time it reacts upon and largely transforms the undepicted kind - and it does so , moreover , without depriving the latter of its literalness ; rather , it underpins and reinforces that literalness , re-creates it .",undepicted,T
9278,"As Broadway itself becomes increasingly weighted down by trite , heavy-handed , commercially successful musicals and inspirational problem dramas , the American theatre is going through an inexorable renaissance in that nebulous area known as `` off-Broadway '' .","The process of flattening seemed inexorable , and it became necessary to emphasize the surface still further in order to prevent it from fusing with the illusion .",inexorable,T
9279,"But the book is written around a somewhat dizzy cartoonist , and it has to be that way .","The story is of a famous strip cartoonist , an arty individual , whose specialty is the American boy and who adopts a 10 - year old to provide him with fresh idea material .",cartoonist,T
9280,"Splendid , too , is the performance of Yuri Tolubeyev , one of Russia 's leading comedians , as Sancho Panza , the fat , grotesque `` squire '' .","It has a fast pace , excellent music , expert direction , and not only a good comedian , but an appealing person in his own right , Mr. Berman .",comedian,T
9281,"Although we are still far from a complete understanding of these problems , as a first approximation , it is suggested that alterations in the hypothalamic balance with consequent changes in the hypothalamic cortical discharges account for major changes in behavior seen in various moods and states of emotions in man and beast under physiological circumstances , in experimental and clinical neurosis , and as the result of psychopharmacological agents .","It ran , this apocalyptic beast , on two thin legs , and its wings - were they feathered arms ?",beast,F
9282,"Gradually watercolor claimed his greater affection until today it has become his major , if not exclusive , technique .","When this occurs , I make the change on the sketch or on the final watercolor - if I have been working on a full sheet in the field .",watercolor,F
9283,"New England deserves as much of your vacation time as you can afford with such areas as Cape Cod providing wonderful beaches , artists ' colonies and quaint townships .",My comments must be briefer than the papers deserve .,deserve,F
9284,"if a receiver or trustee for any such partnership or corporation , duly appointed by a court of competent jurisdiction in the United States , makes an assignment of the claim , or any part thereof , with respect to which an award is made , or makes an assignment of such award , or any part thereof , payment shall be made to the assignee , as his interest may appear ; and in the case of any assignment of an award , or any part thereof , which is made in writing and duly acknowledged and filed , after such award is certified to the Secretary of the Treasury , payment may , in the discretion of the Secretary of the Treasury , be made to the assignee , as his interest may appear .","if a receiver or trustee for any such partnership or corporation has been duly appointed by a court of competent jurisdiction in the United States and has not been discharged prior to the date of payment , payment shall be made to such receiver or trustee in accordance with the order of the court ;",trustee,T
9285,"Four additional deputies be employed at the Fulton County Jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' .",The sentence : 360 days ' confinement in the county jail .,jail,F
9286,"It seemed to her , as it seemed each night , that the gloom drew itself in and became densest at the table 's empty chairs , giving her the frequent illusion that she dined with shadows .","The brothers continued to help each other during their studies , sharing a joint purse , lodging together in the dormitory and dining together at the home of their aunt .",dine,T
9287,In normal use weights are hung on the end of the tape and allowed to pull the tape and the material to be tested between the blocks .,"Here there may be an analogy with cancer : we can detect cancers by their rapidly accelerating growth , determinable only when related to the more normal rate of healthy growth .",normal,T
9288,"Square corner - and gate posts were an open-work pattern of cast-iron foliage ; they were topped by steeples complete in every detail : high pitched roof , pinnacle , and narrow gable .","I remember Ernest Bloch in the foyer , shouting in his high-pitched voice : `` it may be a tour de force , mais mon Dieu , can anyone take this music seriously '' ?",high-pitched,F
9289,"A random storage scheme , based on the spelling of forms , provides an economical way to compile this text form list .",They come prepared for family fun because Americans in ever growing numbers are learning that here is the way to a fine economical vacation that becomes a family experience of lasting importance .,economical,F
9290,"A Houston teacher , now serving in the Legislature , proposed Thursday a law reducing the time spent learning `` educational methods '' .",Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .,legislature,T
9291,Their joint statement was welcomed by the Western delegations who will attend tomorrow the nineteenth plenary session of the fourteen-nation conference on the future of Laos .,"`` This is a great national cultural asset , and therefore it is a great source of satisfaction to me , representing as I do today my wife , to welcome all of you here today at the White House '' .",welcome,F
9292,"If you need a Day off to calm down , duck over to the Muslim Paradise and take it .",By the time he had smoked three cigarettes he had calmed down .,calm_down,T
9293,"It is like medical schools in India where , in that fairy land of religious inhibition , the dissection of dead bodies is frowned upon .",It is far more difficult in many communities to obtain admission to an apprentice program which involves union approval than to get into the most selective medical school in the nation .,medical_school,F
9294,Repeated polls have disclosed that most married couples are now using contraceptives in the practice of birth control .,It called for opposition to laws and institutional practices restricting the information or availability of contraceptives .,contraceptive,T
9295,First he thought of the time he had ridden to Gavin and told him how his cattle were being rustled at the far end of the valley .,"Miss Ada had giggled , and she went sweeping and rustling to the couch and sank down .",rustle,F
9296,"The latter is useful for modifying information about some or all forms of a word , hence reducing the work required to improve dictionary contents .",Two very useful ways for modifying a form dictionary are the addition to the dictionary of complete paradigms rather than single forms and the application of a single change to more than one dictionary form .,useful,T
9297,"With traditional nationalistic spirit , some Englishmen claim that English Catholicism is Catholicism at its best .",Many English Catholics are proud of their Catholicism and know that they are in a new ascendancy .,catholicism,T
9298,To greet them with repulsion would turn what before was neutral into something bad ; it would needlessly bring badness into the world ; and even on subjectivist assumptions that does not seem very bright .,"whether there is such fitness or not , we all assume that there is , and if we do , we express in moral judgments more than the subjectivists say we do .",subjectivist,T
9299,"Reversing it , he smashed the butt down on Frederick Seward 's head , over and over again .",Jay Porter drew a base on balls to fill the bases but Don Wert 's smash was knocked down by Rudolph for the putout .,smash,T
9300,Hardly anyone ashore marked her as she anchored stern-to off Berth 29 on the mole .,"The anchor cable would have been lost overboard , but Philip Staffe was on hand to sever it with his axe .",anchor,T
9301,"We have proved so able to solve technological problems that to contend we cannot realize a universal goal in the immediate future is to be extremely shortsighted , if nothing else .",( We abstract here from technological progress and assume that prices of all other products change proportionately . ),technological,F
9302,The London Universe devoted its centenary issue last December 8 to mapping out various aspects of Catholic progress during the last one hundred years .,"Department stores congregated in the `` one hundred per cent location '' , where all the transit lines converged .",one_hundred,F
9303,"He gave Mr. Jack a real going over ; he brushed his shoulders and his back and his collar with long , firm strokes .","He was puffing on a cigar , and he was turning up his coat collar against the rain .",collar,F
9304,Serious attention must also be given to the husband 's problems in the honeymoon situation .,Another type of shelter which gives excellent fallout protection can be built as an added room to the basement of a home under construction .,give,T
9305,"It will determine the amount of money to be spent by the college and will certify this amount to the board of freeholders , which `` shall appropriate in the same manner as other appropriations are made by it the amount so certified and the amount shall be assessed , levied and collected in the same manner as moneys appropriated for other purposes '' .",Have you assessed the importance of service and given it proper attention ?,assess,T
9306,"He ate breakfast in a sullen mood , but afterwards , when he walked out onto Virginia Street , he felt braced .","In their search for what turned out to be the right breakfast china but the wrong table silver , they opened every cupboard door in the kitchen and pantry .",breakfast,F
9307,God withheld His wrath .,"Some families place undue emphasis on food : conversations center on it , and rich delicacies are offered as rewards , withheld as punishment .",withhold,F
9308,"Whereas persons of eighth grade education or less were more apt to avoid or be shocked by nudity , those educated beyond the eighth grade increasingly welcomed and approved nudity in sexual relations .","Mother even went so far as to trump up for me matrimonial opportunities with Pasadena debs who had been educated abroad , and with those of the more lenient Los Angeles area where a debutante was a girl who had been to high school .",educate,F
